Full Name,Email,Age,Zip,Phone,Gender,City,State,Password,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade,Teaching Team ID
Lenny Mante,lm6031@nittany.edu,22,6883,6117235201,F,Weston,Connecticut,lmddz47s,7 Arch Court ,ECON,CMPEN351,Microprocessors,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,99.0,1.0,Closed book exam for 100 marks,71.0,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,92.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,99.0,
Mr. Jaylin Kautzer,mj6359@nittany.edu,21,30104,5394925840,M,Aragon,Georgia,zlergoka,91 S. Gartner Street ,IST,IST558,Data Mining 2,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,92.0,,,,PHYS211,Thermal Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,71.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,62.0,
Pearlie Connelly,pc8832@nittany.edu,22,61919,1048213834,M,Camargo,Illinois,g6gquwns,358 Marvon Ave. ,PHYS,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,97.0,CMPEN270,Embedded Systems Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,97.0,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,84.0,
Michaela Frami,mf8214@nittany.edu,18,83283,4491122827,F,Thatcher,Idaho,byrmhkrc,8687 N. Sleepy Hollow Court ,IST,CMPEN351,Microprocessors,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,73.0,CHEM111,Experimental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,78.0,EE330,Energy Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,78.0,15.0
Johnny Breitenberg I,jb5052@nittany.edu,18,47841,1433886781,F,Clay City,Indiana,79r2lk38,88 Harrison Street ,CMPSC,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,94.0,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,89.0,1.0,Closed book exam for 100 marks,99.0,CMPSC497,Introduction to Data Mining,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,63.0,,,,
Ms. Adah Bode,ma8938@nittany.edu,18,83622,7417043584,M,Garden Valley,Idaho,v8a0upa6,7313 Stillwater Lane ,CSE,CSE543,Computer Security,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,63.0,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,87.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,98.0,
Lysanne Frami,lf4727@nittany.edu,19,31567,7527897424,M,West Green,Georgia,r5ewbudh,798 North Euclid Drive ,PHYS,CHEM112,Chemical Principles,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,91.0,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,75.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,61.0,
Jonathon Huel,jh1874@nittany.edu,22,30720,4525186794,M,Dalton,Georgia,8d3tdd6n,9659 Rosewood Drive ,EE,EE210,Continuous Time Linear Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,92.0,1.0,Closed book exam for 100 marks,77.0,CSE583,Pattern Recognition,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,66.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,72.0,
Reva Bayer,rb6281@nittany.edu,18,80453,8047713342,F,Idledale,Colorado,6j8qtf9g,655 East Branch Dr. ,CSE,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,89.0,EE212,Introduction to Signal Conditioning ,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,88.0,CMPEN270,Embedded Systems Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,65.0,
Ms. Raina Schmidt,mr5864@nittany.edu,22,93455,5425348934,F,Santa Maria,California,9tc1sf4b,655 East Branch Dr. ,CSE,CMPSC465,Data structures and algorithms,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,75.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,93.0,CHEM110,Environmental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,81.0,1.0,Closed book exam for 100 marks,88.0,
Marco Larson,ml6213@nittany.edu,20,93207,8573071401,M,California Hot Sprin,,kv6p91kt,608 North Addison St. ,PHYS,CMPSC431W,DBMS,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,74.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,91.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,76.0,
Mr. Kelton Kertzmann,mk7773@nittany.edu,21,62035,6608652249,F,Godfrey,Illinois,bisj7cvm,9659 Rosewood Drive ,PHYS,EE330,Energy Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,88.0,CHEM112,Chemical Principles,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,93.0,EE211,Circuit Theory,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,83.0,
Nicolas Cummerata,nc8172@nittany.edu,19,80457,4222302111,F,Kittredge,Colorado,b09izvbz,6 Andover Dr. ,STAT,CMPSC131,Programming and Computation,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,85.0,EE320,Network Security and Cryptography,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,60.0,PHYS211,Thermal Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,73.0,1.0,Closed book exam for 100 marks,70.0,1.0
Mrs. Joannie Dibbert,mj5914@nittany.edu,21,60503,4373709280,F,Aurora,Illinois,n4v8hqyq,7450 West Manchester Street ,IST,PHYS212,Solid State Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,95.0,CMPEN441,Operating Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,96.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,99.0,
Mallie Eichmann,me2148@nittany.edu,20,81248,6227287672,M,Sargents,Colorado,qmpyhkgz,4 Old Academy Drive ,STAT,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,81.0,1.0,Closed book exam for 100 marks,94.0,EE311,Devices and Circuits I,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,94.0,CMPEN454,Fundamentals of Computer Vision,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,96.0,,,,
Mr. Keyshawn Cassin,mk8847@nittany.edu,18,80720,9872124559,M,Akron,Colorado,4zfuvuep,141 Gulf Rd. ,PHYS,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,88.0,MATH141,Matrices,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,72.0,1.0,Closed book exam for 100 marks,94.0,EE340,Design in Communications,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,93.0,,,,
Miss Yolanda Pfannerstill,my3786@nittany.edu,22,52588,6057110393,M,Selma,Iowa,ixfwzeh2,182 Spring Street ,CMPEN,CMPSC311,Introduction to Systems Programming,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,83.0,CMPSC465,Data structures and algorithms,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,86.0,STAT319,Applied Statistics in Science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,64.0,
Jensen McDermott,jm3669@nittany.edu,18,61323,1711549778,M,Dover,Illinois,fhsc0rqw,7195 North Canterbury Circle ,EE,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,76.0,1.0,Closed book exam for 100 marks,66.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,70.0,CHEM111,Experimental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,63.0,
Ursula Fadel,uf7067@nittany.edu,22,83316,5641077462,F,Buhl,Idaho,yohr8drf,185 E. Trenton Street ,MATH,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,85.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,63.0,ECON101,Principles of Economics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,85.0,
Madeline Renner,mr2575@nittany.edu,20,62065,5917708018,M,Michael,Illinois,dud61mbj,860 Wakehurst Dr. ,DS,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,82.0,EE311,Devices and Circuits I,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,94.0,1.0,Closed book exam for 100 marks,99.0,MATH231,Vector Calculus,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,64.0,1.0,Closed book exam for 100 marks,63.0,
Mac Bailey,mb3709@nittany.edu,18,80721,3595611595,F,Amherst,Colorado,yqz5bgrm,232 W. Homewood Ave. ,CHEM,IST128,Introduction to Python,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,73.0,CMPEN331,Computer Organization And Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,83.0,EE340,Design in Communications,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,97.0,,,,25.0
Jakob Kuvalis,jk4409@nittany.edu,18,62053,1466758804,F,Kampsville,Illinois,dngxq5hi,266 Second Street ,IST,EE353,Applied Electromagnetics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,91.0,CMPEN441,Operating Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,81.0,1.0,Closed book exam for 100 marks,82.0,CHEM111,Experimental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,69.0,
Yadira Schinner,ys9174@nittany.edu,18,52052,7561633471,M,Guttenberg,Iowa,n5bplqw8,88 Harrison Street ,CSE,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,82.0,EE212,Introduction to Signal Conditioning ,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,79.0,IST558,Data Mining 2,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,86.0,,,,
Roxanne Fritsch,rf1538@nittany.edu,22,95699,5864409152,M,Drytown,California,3phvh9ch,18 Lakeview Street ,CMPSC,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,95.0,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,64.0,CMPSC221,OOP with Web Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,69.0,2.0
Nicolas O'Reilly,no6118@nittany.edu,19,95682,3248809033,M,Shingle Springs,California,yko7qfpk,7529 Old Sunset Road ,CSE,CHEM110,Environmental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,75.0,EE311,Devices and Circuits I,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,73.0,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,98.0,
Lisette Connelly,lc4994@nittany.edu,19,80836,2153181854,F,Stratton,Colorado,zl5y07yb,63 Lake Forest Road ,IST,EE320,Network Security and Cryptography,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,65.0,EE210,Continuous Time Linear Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,73.0,1.0,Closed book exam for 100 marks,97.0,CSE543,Computer Security,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,85.0,
Orrin Herman IV,oh8195@nittany.edu,22,32509,7041485823,M,Pensacola,Florida,xa4qupgs,9420 Tallwood Street ,ECON,CMPEN351,Microprocessors,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,98.0,MATH231,Vector Calculus,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,80.0,CSE543,Computer Security,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,75.0,12.0
Jewel Cole,jc2471@nittany.edu,22,50857,3949669069,F,Nodaway,Iowa,smelkveu,7195 North Canterbury Circle ,IST,CMPSC221,OOP with Web Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,74.0,CMPSC132,Programming and Computation II,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,68.0,EE352,Design of Digital Circuits and Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,62.0,17.0
Mariam Mills,mm3162@nittany.edu,19,81067,6348114133,F,Rocky Ford,Colorado,qfnrr7q6,461 Heather Street ,CMPEN,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,91.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,69.0,EE210,Continuous Time Linear Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,98.0,
Jasen Hand,jh7997@nittany.edu,19,96818,2181906012,M,Honolulu,Hawaii,e44gixtz,963 Court Road ,DS,CHEM111,Experimental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,97.0,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,92.0,1.0,Closed book exam for 100 marks,88.0,DS120,Python for data science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,87.0,
Irwin Kreiger,ik6824@nittany.edu,20,91950,3663619460,M,National City,California,wd6c5b8t,7297 Applegate St. ,DS,CSE583,Pattern Recognition,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,72.0,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,86.0,CMPEN351,Microprocessors,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,69.0,
Thurman Kessler,tk5748@nittany.edu,21,60515,8266342410,F,Downers Grove,Illinois,lcxh50pn,963 Court Road ,DS,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,95.0,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,92.0,CMPSC132,Programming and Computation II,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,66.0,
Tobin Schinner PhD,ts1830@nittany.edu,21,94305,8628781391,M,Stanford,California,ilnv4fc7,7764 Union Avenue ,EE,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,74.0,CMPSC497,Introduction to Data Mining,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,92.0,,,,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,92.0,1.0
Karen Ritchie,kr6619@nittany.edu,20,85615,4112030604,M,Hereford,Arizona,nejwj0g9,78 South Brewery Ave. ,DS,STAT318,Elementary Probability,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,66.0,IST110,"Introduction to Information, People And Technology",3 Credit Course.,1.0,70,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,68.0,STAT319,Applied Statistics in Science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,78.0,
Robert Krajcik,rk2653@nittany.edu,19,47558,8742787356,F,Montgomery,Indiana,fbcoyeuk,708 York Dr. ,PHYS,CMPEN411,VLSI Digital Circuits,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,88.0,STAT318,Elementary Probability,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,98.0,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,61.0,
Sophia Graham,sg4622@nittany.edu,21,62841,3997995256,M,Freeman Spur,Illinois,jau0vvp1,232 W. Homewood Ave. ,CMPEN,ECON101,Principles of Economics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,100.0,CMPSC221,OOP with Web Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,87.0,EE320,Network Security and Cryptography,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,89.0,1.0,Closed book exam for 100 marks,89.0,
Judson Lubowitz,jl3236@nittany.edu,21,6762,6931764598,F,Middlebury,Connecticut,ekgc03iz,461 Heather Street ,DS,ECON101,Principles of Economics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,83.0,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,99.0,1.0,Closed book exam for 100 marks,70.0,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,90.0,
Kelly Harber,kh1826@nittany.edu,19,50560,9049089503,F,Lu Verne,Iowa,r6lql7ka,78 South Brewery Ave. ,IST,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,75.0,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,96.0,MATH140,Calculus with Analytic Geometry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,83.0,1.0
Mr. Elliott Gibson,me2596@nittany.edu,18,94933,2809940058,F,Forest Knolls,California,du07mr15,8687 N. Sleepy Hollow Court ,DS,MATH231,Vector Calculus,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,89.0,1.0,Closed book exam for 100 marks,95.0,CMPSC497,Introduction to Data Mining,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,89.0,,,,EE311,Devices and Circuits I,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,63.0,
Johnnie Little,jl9851@nittany.edu,19,47385,7388943623,M,Spiceland,Indiana,avrak6tf,358 Marvon Ave. ,IST,STAT414,Introduction to Probability Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,,,,CMPEN270,Embedded Systems Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,64.0,EE211,Circuit Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,80.0,
Stephany Weissnat,sw7724@nittany.edu,18,51007,5126105847,F,Bronson,Iowa,genhnfwu,7130 Longfellow Dr. ,PHYS,MATH231,Vector Calculus,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,64.0,PHYS212,Solid State Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,74.0,CSE583,Pattern Recognition,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,80.0,
Kiley Howe,kh5883@nittany.edu,20,50120,6035727543,M,Haverhill,Iowa,297q8crc,963 Court Road ,CMPSC,CSE543,Computer Security,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,67.0,PHYS212,Solid State Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,78.0,CMPSC132,Programming and Computation II,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,92.0,15.0
Mariana Nicolas Jr.,mn2842@nittany.edu,19,32951,3402751428,F,Melbourne Beach,Florida,mvoktbee,78 South Brewery Ave. ,CHEM,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,77.0,EE353,Applied Electromagnetics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,97.0,PHYS212,Solid State Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,82.0,
Mr. Therese Sauer,mt7911@nittany.edu,18,30206,9007215536,M,Concord,Georgia,u61545ij,780 East Redwood Drive ,STAT,CMPSC465,Data structures and algorithms,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,82.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,63.0,CMPSC132,Programming and Computation II,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,100.0,
Pedro Fadel,pf6936@nittany.edu,20,93925,2074521789,F,Chualar,California,voqefyok,8687 N. Sleepy Hollow Court ,CMPEN,IST128,Introduction to Python,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,65.0,CMPSC465,Data structures and algorithms,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,67.0,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,78.0,
Mafalda Cremin,mc8336@nittany.edu,19,83627,3818459178,M,Hammett,Idaho,e59cih6r,639 Princeton Rd. ,EE,CMPEN441,Operating Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,100.0,CMPSC497,Introduction to Data Mining,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,,,,CMPEN362,Communication Networks,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,99.0,1.0,Closed book exam for 100 marks,81.0,
Mrs. Vesta Aufderhar,mv1311@nittany.edu,21,50027,1633676967,F,Barnes City,Iowa,fw1vmu6d,8401 Green Rd. ,CHEM,CHEM112,Chemical Principles,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,97.0,EE353,Applied Electromagnetics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,60.0,MATH231,Vector Calculus,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,68.0,11.0
Kari Kunze,kk2666@nittany.edu,22,52550,5766377616,M,Delta,Iowa,59hg8iiw,63 Lake Forest Road ,CMPSC,CMPSC497,Introduction to Data Mining,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,97.0,,,,MATH231,Vector Calculus,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,82.0,CSE583,Pattern Recognition,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,94.0,1.0,Closed book exam for 100 marks,60.0,
Otis Kirlin,ok7520@nittany.edu,20,86545,8942468432,M,Rock Point,Arizona,sv6m90rj,608 North Addison St. ,ECON,IST558,Data Mining 2,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,70.0,,,,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,82.0,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,95.0,
